algorithm,topology,churn_rate,trial,n_initial,n_rounds,leader_changes,re_elections,avg_alive,avg_lqs,lqs_std
HighBattery,geometric,0.1,5,20,50,1,1,20.3,0.8143168582332878,1.1102230246251565e-16
MostConnected,geometric,0.1,5,20,50,3,3,20.3,0.8235868512770594,1.1102230246251565e-16
Raft,geometric,0.1,5,20,50,0,0,20.3,0.7514553912393255,0.0
Fitness,geometric,0.1,6,20,50,3,3,16.96,0.9626851168198479,0.0
Bully,geometric,0.1,6,20,50,2,2,16.96,0.7812358109227653,1.1102230246251565e-16
Random,geometric,0.1,6,20,50,1,1,16.96,0.8757333562396282,0.0
HighBattery,geometric,0.1,6,20,50,4,4,16.96,0.9308883578093139,1.1102230246251565e-16
MostConnected,geometric,0.1,6,20,50,0,0,16.96,0.9577889773083593,2.220446049250313e-16
Raft,geometric,0.1,6,20,50,0,0,16.96,0.9626851168198479,0.0
Fitness,geometric,0.1,7,20,50,3,3,28.42,0.8377808552976829,1.1102230246251565e-16
Bully,geometric,0.1,7,20,50,1,1,28.42,0.8646679808406595,0.0
Random,geometric,0.1,7,20,50,2,2,28.42,0.7876396156946839,1.1102230246251565e-16
HighBattery,geometric,0.1,7,20,50,1,1,28.42,0.8279053637044287,0.0
MostConnected,geometric,0.1,7,20,50,2,2,28.42,0.8989914096649987,1.1102230246251565e-16
Raft,geometric,0.1,7,20,50,1,1,28.42,0.8290194009400623,0.0
Fitness,geometric,0.1,8,20,50,1,1,15.48,0.7900560030637864,1.1102230246251565e-16
Bully,geometric,0.1,8,20,50,4,4,15.48,0.8989080181320428,1.1102230246251565e-16
Random,geometric,0.1,8,20,50,3,3,15.48,0.959899842334975,1.1102230246251565e-16
HighBattery,geometric,0.1,8,20,50,0,0,15.48,0.9491786447661801,0.0
MostConnected,geometric,0.1,8,20,50,0,0,15.48,0.8596607604637464,0.0
Raft,geometric,0.1,8,20,50,2,2,15.48,0.8596607604637464,0.0
Fitness,geometric,0.1,9,20,50,0,0,19.0,1.0,0.0
Bully,geometric,0.1,9,20,50,0,0,19.0,0.6495943671641696,1.1102230246251565e-16
Random,geometric,0.1,9,20,50,3,3,19.0,0.6495943671641696,1.1102230246251565e-16
HighBattery,geometric,0.1,9,20,50,2,2,19.0,0.8212039186754961,2.220446049250313e-16
MostConnected,geometric,0.1,9,20,50,0,0,19.0,1.0,0.0
Raft,geometric,0.1,9,20,50,0,0,19.0,1.0,0.0
Fitness,random,0.2,0,20,50,2,2,17.12,0.870963847454872,1.1102230246251565e-16
Bully,random,0.2,0,20,50,5,5,17.12,0.6998880211328494,0.0
Random,random,0.2,0,20,50,3,3,17.12,0.870963847454872,1.1102230246251565e-16
HighBattery,random,0.2,0,20,50,1,1,17.12,0.877748823351373,1.1102230246251565e-16
MostConnected,random,0.2,0,20,50,5,5,17.12,0.9328809438277824,1.1102230246251565e-16
Raft,random,0.2,0,20,50,6,6,17.12,0.877748823351373,1.1102230246251565e-16
Fitness,random,0.2,1,20,50,6,6,31.74,1.0,0.0
Bully,random,0.2,1,20,50,4,4,31.74,0.7400320669787626,1.1102230246251565e-16
Random,random,0.2,1,20,50,3,3,31.74,0.928670889000187,0.0
HighBattery,random,0.2,1,20,50,4,4,31.74,0.928670889000187,0.0
MostConnected,random,0.2,1,20,50,4,4,31.74,0.9803215235821624,1.1102230246251565e-16
Raft,random,0.2,1,20,50,6,6,31.74,0.90452555399826,1.1102230246251565e-16
Fitness,random,0.2,2,20,50,3,3,12.88,1.0,0.0
Bully,random,0.2,2,20,50,1,1,12.88,0.8064409889036908,1.1102230246251565e-16
Random,random,0.2,2,20,50,2,2,12.88,1.0,0.0
HighBattery,random,0.2,2,20,50,1,1,12.88,1.0,0.0
MostConnected,random,0.2,2,20,50,3,3,12.88,0.8064409889036908,1.1102230246251565e-16
Raft,random,0.2,2,20,50,6,6,12.88,1.0,0.0
Fitness,random,0.2,3,20,50,3,3,9.08,1.0,0.0
Bully,random,0.2,3,20,50,2,2,9.08,1.0,0.0
Random,random,0.2,3,20,50,3,3,9.08,0.9677259423706482,1.1102230246251565e-16
HighBattery,random,0.2,3,20,50,4,4,9.08,1.0,0.0
MostConnected,random,0.2,3,20,50,4,4,9.08,0.9245115331738396,2.220446049250313e-16
Raft,random,0.2,3,20,50,5,6,9.08,1.0,0.0
Fitness,random,0.2,4,20,50,5,5,14.16,0.8140252807826891,0.0
Bully,random,0.2,4,20,50,1,1,14.16,0.8237413150612131,0.0
Random,random,0.2,4,20,50,4,4,14.16,0.7160185268837697,1.1102230246251565e-16
HighBattery,random,0.2,4,20,50,2,2,14.16,0.8237413150612131,0.0
MostConnected,random,0.2,4,20,50,8,8,14.16,0.8554977342469863,1.1102230246251565e-16
Raft,random,0.2,4,20,50,7,7,14.16,0.8237413150612131,0.0
