algorithm,topology,n_agents,failure_type,trial,initial_leader,initial_lqs,initial_rounds,killed_agents,recovery_leader,recovery_lqs,recovery_rounds,recovery_messages,recovery_notes
MostConnected,random,10,leader_and_secondary,6,3,1.0,2,2,1.0,1.0,2,10,
Raft,random,10,leader_and_secondary,6,7,0.6725354663009223,6,2,0.0,0.8394403458903777,6,16,No consensus after 20 terms
Fitness,random,10,leader_and_secondary,7,3,1.0,6,2,6.0,1.0,7,70,
Bully,random,10,leader_and_secondary,7,9,0.6406920556550215,10,2,7.0,0.771163867721112,8,36,
Random,random,10,leader_and_secondary,7,5,0.9087800014352404,1,2,3.0,0.9322242060608926,1,8,
HighBattery,random,10,leader_and_secondary,7,6,0.8886134578741722,2,2,7.0,0.6515758661512723,2,8,
MostConnected,random,10,leader_and_secondary,7,3,1.0,2,2,2.0,0.8587379170500484,2,14,
Raft,random,10,leader_and_secondary,7,9,0.6406920556550215,6,2,3.0,0.951816352034859,6,19,term=1
Fitness,random,10,leader_and_secondary,8,6,1.0,6,2,9.0,1.0,7,60,
Bully,random,10,leader_and_secondary,8,9,0.9134575930184544,10,2,7.0,0.7150727799489095,8,36,
Random,random,10,leader_and_secondary,8,4,0.619607448570794,1,2,0.0,1.0,1,8,
HighBattery,random,10,leader_and_secondary,8,3,0.6832553390454108,2,2,8.0,0.7042928044494614,2,8,
MostConnected,random,10,leader_and_secondary,8,6,1.0,2,2,9.0,1.0,2,12,
Raft,random,10,leader_and_secondary,8,0,0.9828111944214254,6,2,7.0,0.7964497552240432,6,15,term=1
Fitness,random,10,leader_and_secondary,9,2,1.0,6,2,0.0,1.0,6,40,
Bully,random,10,leader_and_secondary,9,9,0.9207318313852862,10,2,7.0,0.8782703467350139,8,36,
Random,random,10,leader_and_secondary,9,2,1.0,1,2,8.0,0.9166986355954017,1,8,
HighBattery,random,10,leader_and_secondary,9,4,0.7614345794219514,2,2,9.0,0.9160721410216237,2,8,
MostConnected,random,10,leader_and_secondary,9,2,1.0,2,2,0.0,1.0,2,10,
Raft,random,10,leader_and_secondary,9,0,0.9190484722871551,6,2,3.0,0.6680839414240951,6,15,term=1
Fitness,random,10,leader_and_secondary,10,5,1.0,7,2,9.0,1.0,7,60,
Bully,random,10,leader_and_secondary,10,9,0.8181605991358052,10,2,7.0,0.8634669626033316,8,36,
Random,random,10,leader_and_secondary,10,4,0.6743863013765465,1,2,9.0,0.7840916482902405,1,8,
HighBattery,random,10,leader_and_secondary,10,4,0.6743863013765465,2,2,7.0,0.9393138112445367,2,8,
MostConnected,random,10,leader_and_secondary,10,0,0.9785669322719706,2,2,2.0,0.9549007255474458,2,10,
Raft,random,10,leader_and_secondary,10,2,0.9380817166410541,6,2,1.0,0.8382033563732262,6,16,term=1
Fitness,random,10,leader_and_secondary,11,9,1.0,6,2,0.0,1.0,6,72,
Bully,random,10,leader_and_secondary,11,9,1.0,10,2,7.0,0.8964132826605458,8,36,
Random,random,10,leader_and_secondary,11,3,0.7555764921161329,1,2,0.0,0.7737977714218685,1,8,
HighBattery,random,10,leader_and_secondary,11,9,1.0,2,2,3.0,0.8040583878090484,2,8,
MostConnected,random,10,leader_and_secondary,11,0,0.9240896606838898,2,2,4.0,1.0,2,14,
