algorithm,topology,n_agents,trial,rounds_to_converge,messages_sent,lqs,graph_diameter,graph_density,election_time_ms
Fitness,random,5,21,6,40,1.0,3,0.5,1.2431770000063125
Bully,random,5,21,5,15,1.0,3,0.5,0.6538850000055163
Random,random,5,21,1,5,1.0,3,0.5,0.5436430000003156
HighBattery,random,5,21,2,5,0.9055421585161803,3,0.5,0.5220989999941139
MostConnected,random,5,21,2,10,0.9712466546757079,3,0.5,0.551737999998636
Raft,random,5,21,6,10,0.5416231569722472,3,0.5,0.5554990000007365
Fitness,random,5,22,6,32,1.0,4,0.4,1.2558800000022075
Bully,random,5,22,5,15,0.7441841623573419,4,0.4,0.46112900000139234
Random,random,5,22,1,5,0.7441841623573419,4,0.4,0.444611999995459
HighBattery,random,5,22,2,5,1.0,4,0.4,0.4459320000052003
MostConnected,random,5,22,2,8,0.811011839810213,4,0.4,0.5361079999914864
Raft,random,5,22,6,11,0.811011839810213,4,0.4,0.5561450000044488
Fitness,random,5,23,7,40,1.0,4,0.4,1.3314509999986512
Bully,random,5,23,5,15,1.0,4,0.4,0.4680689999929655
Random,random,5,23,1,5,0.8392496120729952,4,0.4,0.6073440000022856
HighBattery,random,5,23,2,5,1.0,4,0.4,0.6652010000038899
MostConnected,random,5,23,2,8,0.9146318916358797,4,0.4,0.5578139999897758
Raft,random,5,23,7,11,1.0,4,0.4,0.5559309999938478
Fitness,random,5,24,6,40,1.0,3,0.5,1.1293640000076266
Bully,random,5,24,5,15,1.0,3,0.5,0.4463970000045947
Random,random,5,24,1,5,0.7010889625485959,3,0.5,0.44223700000145527
HighBattery,random,5,24,2,5,0.9911197536993639,3,0.5,0.43728500000383974
MostConnected,random,5,24,2,10,0.9911197536993639,3,0.5,0.5355550000132325
Raft,random,5,24,6,12,1.0,3,0.5,0.5370199999958913
Fitness,random,5,25,6,32,1.0,4,0.4,2.249246999994625
Bully,random,5,25,5,15,0.8307771457958214,4,0.4,0.9285699999992403
Random,random,5,25,1,5,0.8307771457958214,4,0.4,0.899860999993507
HighBattery,random,5,25,2,5,1.0,4,0.4,0.8887909999941712
MostConnected,random,5,25,2,8,1.0,4,0.4,1.0597760000052858
Raft,random,5,25,7,11,0.9030333844278111,4,0.4,1.0790700000029574
Fitness,random,5,26,6,32,1.0,4,0.4,2.0432190000008177
Bully,random,5,26,5,15,1.0,4,0.4,0.809794999995006
Random,random,5,26,1,5,1.0,4,0.4,0.8016870000062681
HighBattery,random,5,26,2,5,0.7162514785925135,4,0.4,0.8272749999918005
MostConnected,random,5,26,2,8,0.8692835233899896,4,0.4,0.9394559999975627
Raft,random,5,26,6,10,0.7162514785925135,4,0.4,0.7969139999914887
Fitness,random,5,27,6,32,1.0,3,0.4,2.478721999992217
Bully,random,5,27,5,15,0.8555744460361125,3,0.4,2.0432959999965306
Random,random,5,27,1,5,0.7700817566849631,3,0.4,1.1758929999956536
HighBattery,random,5,27,2,5,0.7700817566849631,3,0.4,0.9970300000077259
MostConnected,random,5,27,2,8,1.0,3,0.4,1.425524999987715
Raft,random,5,27,6,10,0.621404798495633,3,0.4,1.0959260000049653
