algorithm,topology,n_agents,trial,lqs,leader_fitness,rounds_to_converge,messages_sent,election_time_ms
Raft,random,10,15,0.8826210602409464,0.0,6,22,2.3547520000004596
Fitness,random,10,16,1.0,0.8796918450996504,7,120,8.226844999999372
Bully,random,10,16,0.7288290540653941,0.6411449753330194,10,55,3.3784409999997322
Random,random,10,16,0.6344386536638162,0.5581105098440605,1,10,2.21868899999933
HighBattery,random,10,16,0.8014735720511228,0.7050497653962597,2,10,4.033812000000303
MostConnected,random,10,16,1.0,0.8796918450996504,2,24,4.77704499999998
Raft,random,10,16,0.8957918851026908,0.7880208162312801,6,23,3.176864000000279
Fitness,random,10,17,1.0,0.9073351378153487,7,160,4.5363950000005815
Bully,random,10,17,0.9034446191518373,0.8197270480266675,10,55,1.9225640000000155
Random,random,10,17,1.0,0.9073351378153487,1,10,1.467413000000306
HighBattery,random,10,17,0.6828305649179685,0.6195561647243774,2,10,1.466273000000129
MostConnected,random,10,17,1.0,0.9073351378153487,2,32,1.6668900000000875
Raft,random,10,17,0.7561584989144929,0.6860891758228287,6,23,1.7089539999997072
Fitness,random,10,18,1.0,0.9122138244892846,8,132,6.664030999999682
Bully,random,10,18,0.6679968008384185,0.6093559164394207,10,55,2.3582449999999255
Random,random,10,18,0.6904105483547551,0.6298020467824353,1,10,2.5424770000004315
HighBattery,random,10,18,0.6961638250153077,0.6350502652883029,2,10,2.2362230000005923
MostConnected,random,10,18,1.0,0.9122138244892846,2,22,2.417667999999651
Raft,random,10,18,0.6904105483547551,0.6298020467824353,7,21,2.693210999999529
Fitness,random,10,19,1.0,0.8395187419671364,6,128,6.724615000000433
Bully,random,10,19,1.0,0.8395187419671364,10,55,2.498017999999824
Random,random,10,19,0.8698950865475278,0.7302932287017737,1,10,1.8740870000000243
HighBattery,random,10,19,0.7778715913252421,0.6530377797613417,2,10,1.2885009999994423
MostConnected,random,10,19,1.0,0.8395187419671364,2,32,1.5314100000001218
Raft,random,10,19,0.8962094712515011,0.7523846478440926,6,23,1.6419919999997035
Fitness,random,10,20,1.0,0.924790796271839,8,132,11.35249400000049
Bully,random,10,20,0.5147337368018934,0.4760210223250022,10,55,4.691744000000497
Random,random,10,20,0.8936152841626717,0.8264071902014828,1,10,3.0788680000002344
HighBattery,random,10,20,0.7135378712250304,0.6598732561003088,2,10,4.08908100000005
MostConnected,random,10,20,0.8936152841626717,0.8264071902014828,2,22,3.750359000000536
Raft,random,10,20,0.8255793401226295,0.763488175337586,6,22,4.468562999999648
Fitness,random,10,21,1.0,0.932694498557668,8,132,10.327232999999936
Bully,random,10,21,0.6756599433127007,0.6301843120235417,10,55,4.029581999999365
Random,random,10,21,0.6756599433127007,0.6301843120235417,1,10,3.6318479999994935
HighBattery,random,10,21,0.752103672935532,0.7014829580919864,2,10,4.983764000000335
MostConnected,random,10,21,0.7061293517528836,0.6586029616500069,2,22,5.819788000000159
Raft,random,10,21,0.6334585700117166,0.0,7,20,3.3311089999994437
Fitness,random,10,22,1.0,0.862155297851031,9,140,8.456969999999231
Bully,random,10,22,0.6515521120447305,0.5617391052253929,10,55,3.099818000000809
Random,random,10,22,0.7956057193966072,0.6859356859783656,1,10,3.0204390000001524
HighBattery,random,10,22,1.0,0.862155297851031,2,10,3.0613360000000256
MostConnected,random,10,22,1.0,0.862155297851031,2,20,3.095100999999545
Raft,random,10,22,0.602693475778639,0.5196153731228056,6,20,3.2749689999995724
Fitness,random,10,23,1.0,0.8869648524755587,6,128,4.126601000001173
Bully,random,10,23,1.0,0.8869648524755587,10,55,1.6019039999992657
Random,random,10,23,0.8699579500905379,0.7716221248619933,1,10,2.10283700000069
HighBattery,random,10,23,0.5664741151514223,0.5024426299765039,2,10,2.484014000000201
MostConnected,random,10,23,0.9080856996609714,0.805440098634958,2,32,1.814445999999137
Raft,random,10,23,0.9037381906227665,0.8015840109222504,6,22,1.8742629999994875
Fitness,random,10,24,1.0,0.880247746544086,6,120,5.248192000001595
Bully,random,10,24,0.8934911884607095,0.7864936051995368,10,55,1.8542900000007023
Random,random,10,24,0.996802109611805,0.8774328107361824,1,10,2.3217269999999957
HighBattery,random,10,24,0.996802109611805,0.8774328107361824,2,10,2.07211600000079
MostConnected,random,10,24,0.9470926082804803,0.8336761342074535,2,30,2.097836999999103
Raft,random,10,24,0.6891859332383355,0.6066543646829278,6,21,3.498589999999524
Fitness,random,10,25,1.0,0.9027435116465705,6,120,3.329380999998577
Bully,random,10,25,0.8408375752004824,0.7590606653608708,10,55,1.9638680000007014
Random,random,10,25,0.8408375752004824,0.7590606653608708,1,10,1.815323000000646
HighBattery,random,10,25,0.8408375752004824,0.7590606653608708,2,10,3.6607069999998743
MostConnected,random,10,25,1.0,0.9027435116465705,2,30,1.4490009999992282
Raft,random,10,25,0.6775811826675783,0.6116820162669659,6,21,1.5136560000001964
Fitness,random,10,26,1.0,0.8520538022513884,6,128,4.788009000000315
Bully,random,10,26,0.8170493433964496,0.6961699996679452,10,55,1.996469999999917
Random,random,10,26,0.9579723800276637,0.8162440088543829,1,10,3.1433639999995933
HighBattery,random,10,26,0.9680448471567942,0.8248262927698106,2,10,2.0651479999997946
MostConnected,random,10,26,1.0,0.8520538022513884,2,32,2.296358000000609
